Country,Capital
বাংলাদেশের, ঢাকা
বাংলাদেশ, ঢাকা
ভারতের, নয়া দিল্লী
ভারত, নয়া দিল্লী
নেপালের, কাঠমুন্ডু
নেপাল, কাঠমুন্ডু
সিঙ্গাপুরের, সিঙ্গাপুর সিটি
সিঙ্গাপুর, সিঙ্গাপুর সিটি
ইন্দোনেশিয়ার, জাকার্তা
ইন্দোনেশিয়া, জাকার্তা
ভুটানের, থিম্পু
ভুটান, থিম্পু
পাকিস্তানের, ইসলামাবাদ
পাকিস্তান, ইসলামাবাদ
মায়ানমারের, নাইপিদো
মায়ানমার, নাইপিদো
মালয়েশিয়ার, কুয়ালালামপুর
মালয়েশিয়া, কুয়ালালামপুর
ব্রুনাইয়ের, বন্দর সেরী
ব্রুনাই, বন্দর সেরী
ফিলিপাইনের, ম্যানিলা
ফিলিপাইন, ম্যানিলা
কাজাকিস্তানের, আল্মাআতা
কাজাকিস্তান, আল্মাআতা
উজবেকিস্তানের, তাশখন্দ
উজবেকিস্তান, তাশখন্দ
চীনের, বেইজিং
চীন, বেইজিং
উত্তর কোরিয়ার, পিয়ংইয়ং
উত্তর কোরিয়া, পিয়ংইয়ং
দক্ষিণ কোরিয়ার, সিউল
দক্ষিন কোরিয়া, সিউল
জাপানের, টকিও
জাপান, টকিও
ইরাকের, বাগদাদ
ইরাক, বাগদাদ
ইরানের, তেহরান
ইরান, তেহরান
থাইল্যান্ডের, ব্যাংকক
থাইল্যান্ড, ব্যাংকক
ভিয়েতনামের, হ্যানয়
ভিয়েতনাম, হ্যানয়
মালদ্বীপের, মালে
মালদ্বীপ, মালে
আফগানিস্তানের, কাবুল
আফগানিস্তান, কাবুল
কিরগিজস্তানের, বিশবেগ
কিরগিজিস্তানের, বিশবেগ
কিরগিজিস্তান, বিশবেগ
কিরগিজস্তান, বিশবেগ
ইসরাইলের, জেরুজালেম
ইসরাইল, জেরুজালেম
কম্বোডিয়ার, নম্পেন
কম্বোডিয়া, নম্পেন
পূর্ব তিমুরের, দিলি
পূর্ব তিমুর, দিলি
মঙ্গোলিয়ার, উলান বাটর
মঙ্গোলিয়া, উলান বাটর
বাহরাইনের, মানামা
বাহরাইন, মানামা
তুর্কমেনিস্তান, আশাখাবাদ
তুর্কমেনিস্তানের, আশাখাবাদ
ফিলিস্তিনের, রামাল্লা
ফিলিস্তিন, রামাল্লা
জর্ডানের, আম্মান
জর্ডান, আম্মান
তুরস্কের, আস্কারা
তুরস্ক, আস্কারা
কুয়েতের, কুয়েত সিটি
কুয়েত, কুয়েত সিটি
কাতারের, দোহা
কাতার, দোহা
সংযুক্ত আরব আমিরাতের, আবুধাবি
সংযুক্ত আরব আমিরাত, আবুধাবি
সৌদি আরবের, রিয়াদ
সৌদি আরব, রিয়াদ
লেবাননের, বৈরুত
লেবানন, বৈরুত
সিরিয়ার, দামেস্ক
সিরিয়া, দামেস্ক
ইয়েমেনের, সানা
মিশরের, কায়রো
সুদানের, খারতুম
জিবুতির, জিবুতি
জিবুতি, জিবুতি
আলজেরিয়ার, আলজিয়ারস
আলজেরিয়া, আলজিয়ারস
সোমালিয়ার, মোগাদিসু
সোমালিয়া, মোগাদিসু
তিউনিসিয়ার, তিউনিশ
তিউনিসিয়া, তিউনিশ
ইথিওপিয়ার, আদ্দিস আবাবা
ইথিওপিয়া, আদ্দিস আবাবা
ইরিত্রিয়ার, আজমিরা
ইরিত্রিয়া, আজমিরা
কেনিয়ার, নাইরোবি
কেনিয়া, নাইরোবি
মরক্কোর, রাবাত
মরক্কো, রাবাত
জিম্বাবুয়ের, হাররে
জিম্বাবুয়ে, হাররে
মালাবির, লিলংউই
মালাবি, লিলংউই
চাঁদের, এজামেনা
চাঁদ, এজামেনা
উগান্ডার, কাম্পালা
উগান্ডা, কাম্পালা
সেনেগালের, ডাকার
সেনেগাল, ডাকার
লাইবেরিয়ার, মনরোভিয়া
লাইবেরিয়া, মনরোভিয়া
মালির, বামাকো
মালি, বামাকো
নাইজেরিয়ার, আবুুজার
নাইজেরিয়া, আবুুজার
সিয়েরা লিওনের, ফ্রিটাউন
সিয়েরা লিওন, ফ্রিটাউন
আইভরি কোস্টের, আবিদজান
আইভরিকোস্ট, আবিদজান
পশ্চিম সাহারার, আল আইয়ুন
পশ্চিম সাহারা, আল আইয়ুন
দক্ষিণ আফ্রিকার, কেপ্টাউন
দক্ষিণ আফ্রিকা, কেপ্টাউন
জার্মানির, বার্লিন
জার্মানি, বার্লিন
পোল্যান্ডের, ওয়ারস
পোল্যান্ড, ওয়ারস
রোমানিয়ার, বুখারেস্ট
রোমানিয়া, বুখারেস্ট
আলবেনিয়ার, তিরানা
আলবেনিয়া, তিরানা
নরওয়ের, অসলো
নরওয়ে, অসলো
ডেনমার্কের, কোপেনহেগেন
ডেনমার্ক, কোপেনহেগেন
রাশিয়ার, মস্কো
রাশিয়া, মস্কো
বেলজিয়ামের, ব্রাসেলস
বেলজিয়াম, ব্রাসেলস
হাঙ্গেরির, বুদাপেস্ট
হাঙ্গেরি, বুদাপেস্ট
ক্রোয়েশিয়ার, জাগরেব
ক্রোয়েশিয়া, জাগরেব
ফ্রান্সের, প্যারিস
ফ্রান্স, প্যারিস
সুইডেনের, স্টকহোম
সুইডেন, স্টকহোম
ইংল্যান্ডের, লন্ডন
ইংল্যান্ড, লন্ডন
অস্ট্রিয়ার, ভিয়েনা
অস্ট্রিয়া, ভিয়েনা
গ্রিসের, এথেন্স
গ্রিস, এথেন্স
আইসল্যান্ডের, রিকজাভিক
আইসল্যান্ড, রিকজাভিক
নেদারল্যান্ডের, আমস্টারডাম
নেদারল্যান্ড, আমস্টারডাম
পর্তুগালের, লিসবন
পর্তুগাল, লিসবন
ভ্যাটিকান সিটির, ভ্যাটিকান সিটি
ভ্যাটিকান সিটি, ভ্যাটিকান সিটি
আয়ারল্যান্ডের, ডাবলিন
আয়ারল্যান্ড, ডাবলিন
ইতালির, রোম
ইতালি, রোম
জর্জিয়ার, তিবলিস
জর্জিয়া, তিবলিস
স্পেনের, মাদ্রিদ
স্পেন, মাদ্রিদ
সুইজারল্যান্ড এর, বার্ন
সুইজারল্যান্ডের, বার্ন
সুইজারল্যান্ড, বার্ন
যুক্তরাষ্ট্রের, ওয়াশিংটন ডিসি
যুক্তরাষ্ট্র, ওয়াশিংটন ডিসি
কানাডার, অটোয়া
কানাডা, অটোয়া
কোস্টারিকার, সানজোসে
কোস্টারিকা, সানজোসে
পানামার, পানামা সিটি
পানামা, পানামা সিটি
কিউবার, হভনা
কিউবা, হভনা
জ্যামাইকার, কিংস্টন
জামাইকা, কিংস্টন
হাইতির, পোর্ট অব প্রিন্স
হাইতি, পোর্ট অব প্রিন্স
আর্জেন্টিনার, বুয়েন্স আয়ার্স
আর্জেন্টিনা, বুয়েন্স আয়ার্স
ব্রাজিলের, ব্রাজিলিয়া
ব্রাজিলে, ব্রাজিলিয়া
পেরুর, লিমা
পেরু, লিমা
চিলির, সান্টিয়াগো
চিলি, সান্টিয়াগো
উরুগুয়ের, মন্টি ভিডিও
উরুগুয়ে, মন্টি ভিডিও
বলিভিয়ার, লাপাজ
বলিভিয়া, লাপাজ
অস্ট্রেলিয়ার, ক্যানবেরা
অস্ট্রেলিয়া, ক্যানবেরা
নিউজিল্যান্ডের, ওয়েলিংটন
নিউজিল্যান্ড, ওয়েলিংটন
মার্শাল দ্বীপপুঞ্জের, মাজুরা
মার্শাল দ্বীপপুঞ্জ, মাজুরা